whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Smooth Ambler Old Scout Rye 7,Bulleit Rye,High West Rendezvous Rye,Colonel E.H. Taylor Straight Rye,Willett Family Estate Rye 4y,High West Double Rye,WhistlePig 10 Straight Rye,Rittenhouse Rye 100,High West Bourye,Sazerac Rye,Pikesville Rye,Smooth Ambler Old Scout Rye 8,High West Son of Bourye,Thomas H. Handy 2013,Michter's 10 Rye,Michter's Barrel Strength Rye,Willett Family Estate Rye 3y,High West A Midwinter Nights Dram,Four Roses Single Barrel Private Selection OBSQ,Angel's Envy Rye,Lot No. 40,Jefferson's 10 Rye Whiskey,Russell's Reserve Single Barrel Rye,Thomas H. Handy 2014,Booker's Rye,Bulleit Bourbon,Four Roses Single Barrel,Willett Family Estate Rye 2y,High West Campfire,J.P. Wiser's Dissertation,Old Grand Dad 114,Wild Turkey 101 Rye,Bulleit Bourbon 10,Alberta Premium Dark Horse,Basil Hayden's,Millstone 100 Rye,Collingwood 21,Wild Turkey Forgiven,Van Winkle Family Reserve Rye 13,Thomas H. Handy 2016,Old Grand Dad 100 Bottled in Bond,Four Roses Small Batch,Knob Creek Rye,Breckenridge Bourbon,Four Roses Single Barrel Private Selection OBSF,Smooth Ambler Old Scout Bourbon 7,Wild Turkey 101,Russell's Reserve Single Barrel Bourbon,Very Old Barton Bottled In Bond,Crown Royal Northern Harvest Rye,Woodford Reserve Distiller's Select,0.845,0.8372,0.7922,0.7825,0.7475,0.7368,0.7149,0.6973,0.6842,0.6803,0.6715,0.6655,0.6467,0.6452,0.6396,0.6319,0.6144,0.6063,0.5972,0.5967,0.5901,0.5884,0.5805,0.5797,0.5701,0.5598,0.5488,0.5316,0.5089,0.5043,0.4964,0.4931,0.4891,0.479,0.4731,0.4654,0.4535,0.449,0.4472,0.4472,0.4445,0.4433,0.4348,0.4114,0.411,0.4083,0.3968,0.3893,0.3877,0.3812
Dewar's White Label,Johnnie Walker Red Label,Cutty Sark,Chivas Regal 12,J&B Rare,Johnnie Walker Black Label,Dewar's 12,Glenlivet 12,Jameson,Glenkinchie 12,Aberfeldy 12,Black Bottle,Glenmorangie 10 Original,Glenfiddich 12,Johnnie Walker Gold Label,Famous Grouse,Monkey Shoulder,Johnnie Walker Blue Label,Speyburn 10,Dalwhinnie 15,Buchanan's 12 De Luxe,Cragganmore 12,Oban 14,Glenlivet 16 Nadurra,Johnnie Walker Green Label,Johnnie Walker Platinum Label,Black Grouse,Highland Park 12,Tobermory 10,Bruichladdich The Laddie Ten,Compass Box Asyla,Compass Box Hedonism,Glenlivet 15 French Oak Reserve,Tomatin 12,Johnnie Walker Double Black,Cardhu 12,Arran 10,Balvenie 12 Doublewood,Glenfiddich 18,Ardbeg 10,Ledaig 10,Compass Box Great King St. Artist's Blend,Hibiki Japanese Harmony,Deanston Virgin Oak,Pig's Nose,Benromach 10,Springbank 10,Glenfiddich 15,Macallan 10 Fine Oak,Clynelish 14,Lagavulin 12,0.59,0.5105,0.4624,0.4499,0.4488,0.4229,0.38,0.371,0.3591,0.3591,0.3548,0.3486,0.3471,0.3464,0.3456,0.3305,0.3304,0.325,0.3188,0.318,0.3168,0.3126,0.3117,0.3029,0.2977,0.2963,0.2952,0.2951,0.2896,0.2869,0.286,0.284,0.2764,0.2734,0.27,0.2619,0.2612,0.2612,0.2598,0.2591,0.2589,0.2571,0.2537,0.2501,0.2483,0.2477,0.2441,0.2439,0.2431,0.2394
Cardhu 12,Johnnie Walker Black Label,Glenlivet 12,Glenfiddich 12,Dalwhinnie 15,Johnnie Walker Green Label,Oban 14,Glenmorangie 10 Original,Chivas Regal 12,Highland Park 12,AnCnoc 12,Cragganmore 12,Monkey Shoulder,Aberfeldy 12,Speyburn 10,Benromach 10,Tobermory 10,Glenlivet 16 Nadurra,Springbank 10,Bruichladdich The Laddie Ten,Johnnie Walker Gold Label,Clynelish 14,Highland Park 18,Glenlivet 15 French Oak Reserve,Arran 10,Bowmore 12,Johnnie Walker Blue Label,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Black Bottle,Glenlivet 18,Arran 14,Macallan 10 Fine Oak,Ardbeg 10,Johnnie Walker Double Black,Talisker 10,Lagavulin 16,Caol Ila 12,Glenfiddich 15,Lagavulin 12,Old Pulteney 12,Dewar's 12,Glenkinchie 12,McClelland Islay,Glenfiddich 18,Springbank 15,Laphroaig 10,Ardmore Traditional Cask Peated,Amrut Fusion,Compass Box Great King St. Glasgow Blend,Balvenie 15 Single Barrel,Bunnahabhain 12,0.4768,0.4735,0.4595,0.4556,0.4512,0.4328,0.4169,0.4076,0.4019,0.3875,0.38,0.3687,0.3687,0.3623,0.3594,0.3584,0.358,0.3551,0.3391,0.3368,0.3349,0.3321,0.332,0.3283,0.3263,0.3256,0.3217,0.3217,0.3166,0.3164,0.3151,0.3136,0.3072,0.307,0.3003,0.2997,0.2994,0.2974,0.2968,0.2956,0.2918,0.2889,0.2868,0.2855,0.283,0.2823,0.2816,0.2811,0.2806,0.2801
Four Roses Small Batch Limited Edition 2013 125th Anniversary,Four Roses Single Barrel,Four Roses Small Batch,Four Roses Small Batch Limited Edition 2014,Bulleit Bourbon,Four Roses Single Barrel Private Selection OESK,Bulleit Bourbon 10,Four Roses Single Barrel Private Selection OESF,Four Roses Single Barrel Private Selection OBSQ,Four Roses Small Batch Limited Edition 2015,Colonel E.H. Taylor Small Batch,Elmer T. Lee,Russell's Reserve Single Barrel Bourbon,Four Roses Single Barrel Limited Edition 2014,High West Bourye,Blanton's Straight from the Barrel,Wild Turkey 101,Old Grand Dad 114,Woodford Reserve Distiller's Select,Four Roses Yellow Label,Four Roses Single Barrel Private Selection OBSF,Buffalo Trace,Four Roses Single Barrel Private Selection OBSK,Blanton's Original Single Barrel,Elijah Craig Barrel Proof,Wild Turkey Rare Breed,Four Roses Small Batch Limited Edition 2016,Elijah Craig 12,Henry McKenna 10 Single Barrel,Four Roses Single Barrel Private Selection OESQ,Orphan Barrel Barterhouse 20,Thomas H. Handy 2013,Basil Hayden's,Old Grand Dad 100 Bottled in Bond,WhistlePig 10 Straight Rye,Rittenhouse Rye 100,Bulleit Rye,Booker's Bourbon,Colonel E.H. Taylor Barrel Proof,Four Roses Single Barrel Private Selection OBSV,Pikesville Rye,Willett Family Estate Rye 4y,George T. Stagg 2013,High West Rendezvous Rye,Smooth Ambler Old Scout Rye 7,Colonel E.H. Taylor Straight Rye,Sazerac Rye,High West Double Rye,Parker's Heritage Collection 7th: Promise of Hope,Michter's 10 Rye,1792 Ridgemont Reserve,0.5921,0.5721,0.5584,0.5208,0.487,0.4823,0.4679,0.4548,0.4546,0.4539,0.4473,0.4443,0.4426,0.4258,0.421,0.4163,0.4123,0.4112,0.4076,0.4074,0.4036,0.4033,0.3992,0.3958,0.3951,0.3945,0.3895,0.3878,0.3865,0.3739,0.3723,0.3709,0.3684,0.3679,0.3662,0.3656,0.3615,0.3559,0.3488,0.345,0.3386,0.3376,0.3374,0.3326,0.3275,0.3266,0.3259,0.325,0.3247,0.3246
Willett Family Estate Rye 4y,High West Rendezvous Rye,Colonel E.H. Taylor Straight Rye,Bulleit Rye,WhistlePig 10 Straight Rye,High West Double Rye,Rittenhouse Rye 100,Smooth Ambler Old Scout Rye 7,Pikesville Rye,Sazerac Rye,Michter's 10 Rye,Michter's Barrel Strength Rye,High West Bourye,Thomas H. Handy 2013,Jefferson's 10 Rye Whiskey,Willett Family Estate Rye 3y,Angel's Envy Rye,Russell's Reserve Single Barrel Rye,High West Son of Bourye,Thomas H. Handy 2014,Four Roses Single Barrel,Four Roses Single Barrel Private Selection OBSQ,Willett Family Estate Rye 2y,Lot No. 40,Bulleit Bourbon,Booker's Rye,High West A Midwinter Nights Dram,Wild Turkey 101 Rye,Smooth Ambler Old Scout Rye 8,Alberta Premium Dark Horse,High West Campfire,Old Grand Dad 114,J.P. Wiser's Dissertation,Bulleit Bourbon 10,Millstone 100 Rye,Collingwood 21,Breckenridge Bourbon,Four Roses Small Batch,Wild Turkey Forgiven,Van Winkle Family Reserve Rye 13,Knob Creek Rye,Old Grand Dad 100 Bottled in Bond,Basil Hayden's,Thomas H. Handy 2016,Very Old Barton Bottled In Bond,Four Roses Single Barrel Private Selection OBSF,Crown Royal Northern Harvest Rye,1792 Ridgemont Reserve,Blanton's Original Single Barrel,Russell's Reserve Single Barrel Bourbon,Wild Turkey 101,0.8592,0.8556,0.8467,0.829,0.8229,0.8199,0.7825,0.7694,0.7642,0.7425,0.7415,0.7253,0.725,0.7124,0.6965,0.6951,0.672,0.6617,0.6366,0.6202,0.6131,0.6104,0.6017,0.5987,0.5821,0.5819,0.5762,0.575,0.568,0.5647,0.5417,0.5417,0.5403,0.5314,0.5236,0.5014,0.5002,0.4805,0.4793,0.4791,0.4763,0.4715,0.4564,0.455,0.4439,0.4377,0.4327,0.4272,0.4267,0.4226
Talisker 18,Talisker 10,Caol Ila 12,Lagavulin 16,Talisker 57° North,Ardbeg 10,Ardbeg Uigeadail,Laphroaig 18,Springbank 10,Highland Park 12,Laphroaig Quarter Cask,Laphroaig 10,Ledaig 10,Benromach 10,Ardbeg Corryvreckan,Kilchoman Machir Bay,Talisker Storm,Oban 14,Lagavulin 12,Springbank 15,Highland Park 18,Longrow Peated,Bruichladdich Port Charlotte Scottish Barley,Lagavulin 8,Bowmore 12,Bunnahabhain 12,Bruichladdich Octomore 6.1,Laphroaig 10 Cask Strength,Compass Box Peat Monster,Johnnie Walker Green Label,Bruichladdich The Laddie Ten,Ardbeg Galileo,Ardbeg Ardbog,Talisker 25,Bunnahabhain Toiteach,Ardmore Traditional Cask Peated,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Laphroaig Triplewood,Laphroaig 15,Ardbeg Airigh Nam Beist 1990,Finlaggan Old Reserve,Laphroaig Cairdeas 2015,Bowmore 18,Bruichladdich Port Charlotte 10,Bowmore 15 Darkest,Laphroaig 25 Cask Strength 2008,Laphroaig Cairdeas 2012 Origin,Talisker Distiller's Edition 2012,Jura Prophecy,BenRiach 10 Curiositas,Balvenie 17 Peated Cask,0.795,0.7354,0.7343,0.7335,0.7232,0.7222,0.7186,0.6884,0.6878,0.6867,0.671,0.6697,0.6631,0.6616,0.661,0.6551,0.649,0.6489,0.6461,0.6414,0.6412,0.6359,0.6319,0.6311,0.6279,0.6276,0.6227,0.6138,0.6113,0.6105,0.6087,0.6086,0.6076,0.6065,0.5973,0.5966,0.5904,0.5886,0.5884,0.5656,0.5654,0.5649,0.5646,0.5546,0.5534,0.5514,0.5489,0.5462,0.5443,0.5408
Black Bottle,Caol Ila 12,Lagavulin 16,Johnnie Walker Black Label,Ardbeg 10,Laphroaig 10,Finlaggan Old Reserve,Laphroaig Quarter Cask,Bowmore 12,Talisker 10,Kilchoman Machir Bay,Laphroaig 18,Ardbeg Uigeadail,Johnnie Walker Green Label,Compass Box Peat Monster,Ardbeg Corryvreckan,Lagavulin 12,Highland Park 12,Ledaig 10,Lagavulin 8,Ardmore Traditional Cask Peated,Laphroaig 10 Cask Strength,Compass Box Great King St. Glasgow Blend,Bruichladdich Port Charlotte Scottish Barley,BenRiach 10 Curiositas,Longrow Peated,Talisker 57° North,Benromach 10,Springbank 10,Bruichladdich The Laddie Ten,Bruichladdich Octomore 6.1,Ardbeg Ardbog,Bunnahabhain Toiteach,McClelland Islay,Jura Prophecy,Bowmore 18,Bruichladdich Port Charlotte 10,Bunnahabhain 12,Oban 14,Ardbeg Galileo,Smokehead,Bowmore 15 Darkest,Ardbeg Airigh Nam Beist 1990,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Laphroaig Triplewood,Té Bheag,Connemara Peated,Highland Park 18,Balvenie 17 Peated Cask,Laphroaig Cairdeas 2015,Laphroaig Lore,0.7107,0.7022,0.6859,0.6839,0.6808,0.6778,0.6699,0.6545,0.6529,0.6455,0.6389,0.6385,0.6376,0.6302,0.6266,0.6237,0.6202,0.6004,0.5982,0.5978,0.5916,0.5896,0.579,0.5761,0.5755,0.5733,0.5701,0.5695,0.555,0.5548,0.5546,0.5545,0.5459,0.5376,0.5345,0.5342,0.5335,0.5329,0.5308,0.5294,0.529,0.524,0.5236,0.5222,0.5193,0.5153,0.5118,0.5087,0.5072,0.507
Compass Box Hedonism,Compass Box Great King St. Artist's Blend,Compass Box Asyla,Jameson,Chivas Regal 12,Glenlivet 16 Nadurra,Glenmorangie 10 Original,Dewar's 12,Glenlivet 12,Johnnie Walker Red Label,Dewar's White Label,Compass Box Great King St. Glasgow Blend,Cutty Sark,Johnnie Walker Gold Label,Glenmorangie Astar,Compass Box Spice Tree,Johnnie Walker Black Label,Black Grouse,Compass Box Oak Cross,Famous Grouse,Monkey Shoulder,Arran 10,Black Bottle,J&B Rare,Glenlivet 15 French Oak Reserve,Hibiki Japanese Harmony,Compass Box The Lost Blend,Compass Box Enlightenment,Macallan 10 Fine Oak,Dalwhinnie 15,Glenkinchie 12,Sheep Dip,Auchentoshan Valinch,Balvenie 12 Single Barrel First Fill,Buchanan's 12 De Luxe,Glenfiddich 12,Johnnie Walker Blue Label,Green Spot,AnCnoc 12,Glenmorangie Ealanta,Cragganmore 12,Clynelish 14,Pig's Nose,Balvenie 15 Single Barrel,Nikka Coffey Grain,Nikka Whisky From The Barrel,Arran 14,Dimple Pinch 15,Balvenie 12 Doublewood,Johnnie Walker Green Label,Glenfiddich 15,0.399,0.3367,0.3362,0.3309,0.324,0.3047,0.302,0.2945,0.2927,0.286,0.286,0.2785,0.2773,0.2728,0.2726,0.2718,0.2616,0.2559,0.2557,0.2554,0.2507,0.2476,0.2462,0.2451,0.2402,0.24,0.2369,0.2361,0.2342,0.2339,0.2326,0.2297,0.2268,0.2267,0.2255,0.2241,0.2237,0.2237,0.22,0.2191,0.2176,0.2123,0.2101,0.2092,0.2072,0.2054,0.2025,0.2021,0.1972,0.197
Longrow Red 11 Fresh Port Cask,BenRiach 17 Solstice,Laphroaig Cairdeas 2013 Portwood,Kilchoman Port Cask Matured,Talisker Port Ruighe,Glenmorangie 12 Quinta Ruban,Longrow Red 12 Fresh Pinot Noir Cask,Longrow Red 11 Australian Shiraz,Longrow Red 11 Cabernet Sauvignon,BenRiach 12 Importanticus Fumosus,Ardbeg Galileo,Lagavulin 16,Ardbeg Corryvreckan,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg Uigeadail,Bruichladdich Port Charlotte Scottish Barley,Ardbeg 10,Laphroaig 18,Ardmore 12 Port Wood Finish,Bruichladdich Octomore 6.1,Bruichladdich Octomore 4.2_167 Comus,Laphroaig Quarter Cask,Caol Ila 12,Springbank 10,Ardmore Traditional Cask Peated,Ardbeg Ardbog,BenRiach 10 Curiositas,Longrow Peated,Ledaig 10,Lagavulin 12,Laphroaig Triplewood,Kilchoman Machir Bay,Highland Park 12,Laphroaig Cairdeas 2016 Madeira,Amrut Fusion,Laphroaig 10 Cask Strength,Benromach 10,Talisker 10,Balvenie 21 Portwood,Bowmore 15 Darkest,Longrow Red 13 Malbec,Laphroaig 10,Bunnahabhain Toiteach,Springbank 15,Bruichladdich Port Charlotte An Turas Mor,Talisker 57° North,Lagavulin 8,Bruichladdich Port Charlotte 10,Amrut Portonova,Port Ellen 32 12th Release,Bowmore 12,0.8444,0.8028,0.7581,0.7294,0.6645,0.617,0.5613,0.5558,0.5558,0.5321,0.532,0.5304,0.5235,0.521,0.518,0.5167,0.5145,0.512,0.509,0.5053,0.5025,0.499,0.4981,0.4969,0.4923,0.4894,0.4882,0.4859,0.4805,0.4797,0.4751,0.4739,0.4727,0.4719,0.4703,0.4649,0.4649,0.4646,0.4581,0.4575,0.4573,0.4544,0.4531,0.4498,0.4476,0.4426,0.4423,0.4384,0.4373,0.4365
Edradour 10,Glenfarclas 12,Balvenie 12 Doublewood,Glenlivet 18,Macallan 12 Sherry,GlenDronach 15 Revival,Bunnahabhain 12,GlenDronach 12 Original,Benromach 10,Glenfarclas 105 Cask Strength,Aberlour 10,Tomatin 12,Aberlour 12 Double Cask Matured,Bunnahabhain 18,Macallan Sherry Cask Strength,Glenfiddich 15,Auchentoshan Three Wood,Glenmorangie Lasanta,Aberlour 12 Non Chill Filtered,Glenfiddich 18,Arran 10,Glenfarclas 40,Glenfarclas 25,Glenfarclas 17,Glenfarclas 15,Dalmore 12,Oban 14,Aberlour A'bunadh batch #45,Highland Park 12,Dalwhinnie 15,Glenmorangie 10 Original,Springbank 15,Balvenie 15 Single Barrel Sherry Cask,Highland Park 18,Michel Couvreur 12 Overaged Malt Whiskey,Glengoyne 25,GlenDronach 21 Parliament,Glenfiddich 12,Aberlour 16,Dalmore 15,Clynelish 14,Highland Park Dark Origins,Glengoyne 21,Glenlivet 16 Nadurra,Cragganmore 12,Highland Park 25,Macallan 10 Fine Oak,BenRiach 12 Sherry Matured,Glenlivet 21 Archive,Monkey Shoulder,Glenmorangie 18,0.4308,0.4301,0.4089,0.4027,0.395,0.3907,0.3901,0.3866,0.3822,0.3822,0.3697,0.3681,0.3669,0.3629,0.3551,0.355,0.3547,0.3531,0.3527,0.3513,0.3511,0.3493,0.3493,0.3439,0.343,0.3407,0.3393,0.3356,0.3334,0.3309,0.3271,0.3263,0.326,0.3247,0.3228,0.3217,0.321,0.32,0.3198,0.3192,0.3173,0.3166,0.3144,0.311,0.3094,0.3074,0.3045,0.3031,0.3019,0.301
Glenmorangie Ealanta,Glenmorangie Astar,Deanston Virgin Oak,Balvenie 15 Single Barrel,Glenmorangie 10 Original,Glenlivet 16 Nadurra,Dalwhinnie 15,AnCnoc 12,Clynelish 14,Oban 14,Glenlivet 12,Booker's Bourbon,Glenlivet 18,Arran 10,Old Pulteney 12,Glenfiddich 14 Rich Oak,Balvenie 12 Single Barrel First Fill,Arran 14,Bruichladdich The Laddie Ten,Deanston 12,Glenfiddich 15,Glenlivet 15 French Oak Reserve,Monkey Shoulder,Tobermory 10,Cragganmore 12,Springbank 10,Springbank 15,Glenfiddich 12,Kavalan Solist Vinho Barrique,Elmer T. Lee,Glenkinchie 12,Highland Park 12,Benromach 10,Woodford Reserve Distiller's Select,Balcones Texas Single Malt,Glenmorangie Signet,Glenfiddich 18,Old Grand Dad 114,Balvenie 21 Portwood,Auchentoshan Valinch,Amrut Fusion,Wild Turkey 101,Balvenie 12 Doublewood,Auchentoshan 12,Russell's Reserve Single Barrel Bourbon,Highland Park 18,Blanton's Straight from the Barrel,Bunnahabhain 18,Glenlivet 21 Archive,Macallan 10 Fine Oak,Bunnahabhain 12,0.3761,0.3718,0.357,0.337,0.3364,0.3136,0.3092,0.3056,0.2995,0.2991,0.2967,0.2891,0.2871,0.2831,0.2818,0.279,0.2781,0.2758,0.2756,0.2727,0.2722,0.2617,0.2613,0.2586,0.2579,0.2571,0.2568,0.2565,0.256,0.2524,0.252,0.251,0.2503,0.2489,0.2477,0.2475,0.2466,0.2456,0.243,0.2421,0.2397,0.2372,0.2352,0.2347,0.2345,0.234,0.2332,0.2329,0.2328,0.2321
Glenmorangie 18,Balvenie 12 Doublewood,Glenlivet 18,GlenDronach 12 Original,Glenfarclas 12,Macallan 12 Sherry,GlenDronach 15 Revival,Glenfarclas 17,Aberlour 12 Non Chill Filtered,Glenmorangie Lasanta,Glenfarclas 105 Cask Strength,Glenfiddich 18,GlenDronach 21 Parliament,Glenfiddich 15,Tomatin 12,Aberlour 10,Glenfarclas 25,Dalwhinnie 15,Balvenie 17 Doublewood,Macallan Sherry Cask Strength,Aberlour 12 Double Cask Matured,Bunnahabhain 12,Glenmorangie 10 Original,Glenlivet 16 Nadurra,Auchentoshan Three Wood,Benromach 10,Macallan 10 Fine Oak,Aberlour 16,Arran 10,Bunnahabhain 18,Glenfarclas 15,Michel Couvreur 12 Overaged Malt Whiskey,Dalmore 12,Glenfiddich 12,Balvenie 15 Single Barrel Sherry Cask,Aberlour A'bunadh batch #45,AnCnoc 12,Glenlivet 12,Glenfarclas 40,Macallan 15 Fine Oak,Clynelish 14,Springbank 15,Arran 14,Glengoyne 21,BenRiach 12 Sherry Matured,Benrinnes 23,Highland Park 18,Glen Garioch 12,Glenlivet 21 Archive,Springbank 12 Cask Strength,Glengoyne 17,0.4976,0.4642,0.4413,0.4394,0.4361,0.4327,0.4294,0.4265,0.423,0.4118,0.4107,0.4099,0.4092,0.4084,0.4036,0.3971,0.393,0.3915,0.3911,0.3895,0.3884,0.3876,0.3838,0.3782,0.3767,0.3725,0.3705,0.3682,0.3678,0.3656,0.3654,0.3608,0.3596,0.3586,0.3582,0.3551,0.3543,0.3507,0.3499,0.3464,0.3459,0.3458,0.3425,0.3404,0.3382,0.3364,0.3359,0.3355,0.3352,0.3343
Angel's Envy Rye,Colonel E.H. Taylor Straight Rye,Willett Family Estate Rye 4y,Rittenhouse Rye 100,WhistlePig 10 Straight Rye,Bulleit Rye,High West Rendezvous Rye,High West Double Rye,Michter's Barrel Strength Rye,Pikesville Rye,Sazerac Rye,Michter's 10 Rye,Thomas H. Handy 2013,Smooth Ambler Old Scout Rye 7,High West Bourye,Russell's Reserve Single Barrel Rye,Jefferson's 10 Rye Whiskey,Willett Family Estate Rye 3y,Booker's Rye,High West Son of Bourye,Four Roses Single Barrel,Thomas H. Handy 2014,J.P. Wiser's Dissertation,Bulleit Bourbon,Lot No. 40,Alberta Premium Dark Horse,Four Roses Single Barrel Private Selection OBSQ,High West A Midwinter Nights Dram,Willett Family Estate Rye 2y,High West Campfire,Collingwood 21,Wild Turkey 101 Rye,Balvenie 14 Caribbean Cask,Millstone 100 Rye,Old Grand Dad 114,Smooth Ambler Old Scout Rye 8,Bulleit Bourbon 10,Wild Turkey Forgiven,Van Winkle Family Reserve Rye 13,Breckenridge Bourbon,Four Roses Small Batch,Old Grand Dad 100 Bottled in Bond,Knob Creek Rye,Thomas H. Handy 2016,Crown Royal Northern Harvest Rye,Very Old Barton Bottled In Bond,Basil Hayden's,1792 Ridgemont Reserve,Four Roses Single Barrel Private Selection OBSK,Old Forester 86,Four Roses Yellow Label,0.7181,0.6951,0.6902,0.6858,0.6738,0.6631,0.6541,0.6447,0.6335,0.6128,0.6054,0.6025,0.5972,0.5827,0.5732,0.5688,0.5577,0.5362,0.5233,0.4879,0.4873,0.4783,0.4767,0.4728,0.4726,0.4703,0.4694,0.4678,0.4657,0.4596,0.4582,0.4502,0.4386,0.4301,0.4295,0.4277,0.3964,0.3955,0.3898,0.387,0.3845,0.3784,0.3735,0.3728,0.3698,0.3587,0.3567,0.3458,0.3429,0.3312
Speyburn 10,Highland Park 12,Glenlivet 12,Johnnie Walker Black Label,Johnnie Walker Green Label,Oban 14,Glenmorangie 10 Original,Dalwhinnie 15,Springbank 10,AnCnoc 12,Ardbeg 10,Glenfiddich 12,Benromach 10,Bruichladdich The Laddie Ten,Tobermory 10,Longrow Peated,Ardmore Traditional Cask Peated,Caol Ila 12,Kilchoman Machir Bay,Cragganmore 12,Ledaig 10,Lagavulin 16,Arran 10,Talisker 10,Lagavulin 12,Laphroaig 10,Bowmore 12,Glenlivet 16 Nadurra,Laphroaig Quarter Cask,BenRiach 10 Curiositas,Ardbeg Uigeadail,Amrut Fusion,Ardbeg Corryvreckan,Clynelish 14,Compass Box Peat Monster,Aberfeldy 12,Johnnie Walker Blue Label,Laphroaig 18,AnCnoc Flaughter,Springbank 15,Highland Park 18,Bruichladdich Port Charlotte 10,Finlaggan Old Reserve,Bruichladdich Port Charlotte Scottish Barley,Black Bottle,Jura Superstition,Monkey Shoulder,Johnnie Walker Gold Label,Balvenie 12 Doublewood,Laphroaig 10 Cask Strength,Balvenie 17 Peated Cask,0.5456,0.5371,0.5332,0.5109,0.5093,0.5014,0.4948,0.4927,0.4924,0.4812,0.4779,0.4739,0.4615,0.4603,0.4559,0.4545,0.4497,0.4484,0.4414,0.4385,0.4385,0.4383,0.4355,0.4274,0.4263,0.4223,0.422,0.4217,0.419,0.418,0.4155,0.4135,0.411,0.4106,0.4084,0.408,0.4074,0.405,0.4034,0.4013,0.3982,0.3951,0.3939,0.3899,0.3864,0.3857,0.3822,0.3811,0.3789,0.3789
Scapa 16,Oban 14,Clynelish 14,Dalwhinnie 15,Bruichladdich The Laddie Ten,Springbank 10,Old Pulteney 12,Tobermory 10,Bunnahabhain 12,Highland Park 12,Glenmorangie 10 Original,Arran 14,Cragganmore 12,Arran 10,Glenlivet 12,Benromach 10,Johnnie Walker Green Label,Glenlivet 16 Nadurra,Springbank 15,Talisker 10,AnCnoc 12,Glenfiddich 12,Glenlivet 18,Bunnahabhain 18,Ardbeg 10,Lagavulin 12,Glenlivet 15 French Oak Reserve,Highland Park 18,Ledaig 10,Caol Ila 12,Ardbeg Uigeadail,Laphroaig 10,Glenkinchie 12,Johnnie Walker Black Label,Kilkerran 12,Kilchoman Machir Bay,Aberfeldy 12,Lagavulin 16,Balvenie 12 Doublewood,Monkey Shoulder,Amrut Fusion,Glenfiddich 15,Talisker 57° North,Talisker 18,Balvenie 15 Single Barrel,Glenfiddich 18,Laphroaig 18,Talisker Storm,Ardbeg Corryvreckan,Macallan 10 Fine Oak,Ardmore Traditional Cask Peated,0.4267,0.4204,0.4014,0.3989,0.3882,0.3862,0.375,0.3725,0.3724,0.3695,0.3611,0.3596,0.3534,0.3504,0.35,0.3478,0.3464,0.3425,0.3363,0.3356,0.329,0.3211,0.3202,0.3182,0.3169,0.3167,0.3137,0.3101,0.3077,0.3051,0.2988,0.2987,0.2968,0.2951,0.2941,0.2932,0.2924,0.2912,0.2885,0.2883,0.2862,0.2858,0.2849,0.2836,0.2828,0.2811,0.2804,0.2795,0.2776,0.2749
